3214|45758|0|0 
34019|8529|0|0 
60060|702|0|0 
553|29505|0|1 
54825|9957|0|0 
25549|12969|0|0 
22773|33003|2|0 
29838|26941|0|2 
46416|34927|0|0 
49115|174|1|0 
35598|21472|0|2 
42480|2588|1|2 
3356|17466|2|0 
29457|8220|1|1 
3257|4058|2|2 
37100|43404|2|0 
6735|1828|0|2 
6461|20404|2|0 
50783|31027|0|1 
44033|49420|0|2 
30766|49697|0|0 
13335|27884|0|1 
61231|1239|0|2 
10632|209|1|1 
2906|38195|0|2 
16247|18106|0|0 
11164|237|0|0 
24482|38965|0|0 
24482|48237|0|0 
43293|24482|0|2 
2516|4680|2|1 
7473|13030|0|0 
58511|12297|0|0 
50509|12741|0|0 
3257|21947|2|1 
9930|29140|0|2 
38195|55256|0|0 
14928|33891|0|0 
39551|12479|0|1 
22473|209|1|0 
14938|12129|0|1 
8896|14127|0|1 
20847|29075|0|2 
20473|3170|0|0 
15802|61955|0|0 
61461|14907|0|2 
17621|10212|0|2 
28186|61652|0|0 
15305|4181|2|0 
7138|6453|1|0 
37100|16298|0|0 
48362|31490|0|1 
35551|48362|0|0 
174|29110|2|0 
18283|4455|0|1 
8315|58952|0|0 
4657|24173|0|0 
62955|5713|0|2 
49910|21412|0|2 
60280|8426|0|0 
3255|35598|0|0 
33941|35280|0|2 
45029|20485|1|0 
20612|15398|0|0 
32934|9443|1|0 
12302|58337|2|0 
38082|3292|0|0 
28917|62044|0|1 
24033|38195|0|1 
3356|57660|2|0 
12732|57695|0|1 
701|3378|2|0 
24492|42473|0|0 
55805|45352|0|0 
24961|50010|0|0 
22962|33657|0|0 
49544|51514|0|2 
1103|9150|0|0 
20880|24482|0|0 
61568|40627|0|1 
24482|56504|0|2 
47957|2200|0|0 
4181|9875|0|0 
51184|9036|0|0 
41064|8218|0|0 
8220|13068|2|2 
8851|6939|0|0 
54774|7018|1|0 
286|61315|0|0 
28306|53070|0|0 
174|11221|2|2 
10122|60171|0|0 
32787|52672|0|0 
39279|8283|0|0 
48873|50923|0|0 
39921|12200|1|2 
37680|34549|0|1 
48092|57695|0|2 
2516|32934|2|0 
12491|37239|0|2 
31500|28792|0|0 
49164|8708|1|0 
13002|31133|0|1 
24214|4750|1|1 
12969|13237|0|0 
34555|41811|0|0 
22228|3356|1|1 
22773|7818|2|1 
15716|15830|0|2 
48152|20811|0|0 
7632|56261|0|1 
5511|32590|0|2 
9652|38561|0|0 
40513|6461|1|2 
34056|41095|0|0 
39120|47138|0|0 
35266|4657|0|1 
54994|9318|1|2 
63927|5713|0|0 
16552|34177|0|0 
49544|11708|0|0 
7018|13893|2|0 
7575|4778|0|0 
31263|20912|0|0 
9304|25593|0|0 
55799|4455|0|2 
21570|286|1|0 
36073|3257|1|0 
58511|29075|0|2 
56665|63927|0|0 
35000|58299|0|0 
23106|51185|0|0 
35793|1764|0|0 
3333|8220|0|0 
14103|3356|1|0 
36692|20932|0|0 
17676|63786|0|1 
37721|35071|0|0 
15830|50020|0|0 
49905|3216|1|0 
42989|51201|2|0 
51184|44973|0|0 
3303|286|0|0 
40065|9680|0|0 
19653|7057|0|0 
21176|6939|0|0 
9186|37721|0|1 
29075|20326|0|0 
52320|20340|0|0 
7018|35931|2|0 
32019|1785|1|0 
6774|15580|0|0 
41033|14630|0|0 
51604|9049|1|1 
10578|6939|1|2 
38144|38158|0|1 
34572|37721|0|0 
9868|4766|1|1 
28589|6939|0|2 
35361|56821|0|0 
28917|25532|0|0 
20764|2134|0|2 
27205|3356|1|0 
31242|35174|0|2 
28598|41047|0|2 
61099|50673|0|0 
4455|49961|0|0 
43061|3212|0|2 
34497|8680|0|1 
44118|34547|1|1 
34549|20677|0|2 
35280|27688|0|0 
58695|23688|1|0 
6057|52354|2|0 
37662|35297|0|0 
8757|8298|0|0 
19515|1403|0|0 
58115|25375|0|0 
36163|209|1|0 
2828|19043|2|0 
32125|14325|2|1 
25091|42765|0|1 
24514|1828|0|2 
49115|61955|0|2 
25819|6939|0|1 
19151|293|0|0 
4628|59605|0|0 
42695|14537|0|0 
28195|28589|1|1 
42385|8283|0|0 
64475|50533|0|0 
28792|33967|0|1 
53634|3356|1|2 
34577|41047|0|1 
50763|36351|0|0 
12552|25369|0|0 
2635|20932|0|0 
48061|14061|0|2 
20000|46450|0|2 
24253|35280|0|0 
52468|51185|0|1 
5398|25521|0|0 
3356|46269|2|0 
1299|41549|2|2 
3738|702|1|0 
41405|15830|0|1 
16347|13335|0|0 
41275|24482|0|0 
15133|61955|0|0 
